,Professional,Country,DeveloperType,HaveWorkedLanguage,WantWorkLanguage
8444,Student,Lebanon,General,Assembly; C; C++; Common Lisp; Java; JavaScript; SQL; VB.NET,C#; PHP
8445,Student,India,General,C; C++; Java,C#; PHP
8448,Student,United Kingdom,General,C; C++; C#; Java; JavaScript; PHP; Python,C; C++; C#; CoffeeScript; Go; Java; PHP; Python; Swift
8454,Student,India,General,C#; JavaScript; SQL,Assembly; C; C++; Java; Python
8478,Student,United Kingdom,General,JavaScript; PHP; Python,Assembly; C++; JavaScript; PHP; Python
8481,Student,India,General,C,Assembly
8483,Student,France,General,R; SQL; VBA,Python; R
8487,Student,Germany,General,Assembly; C; C++; C#; Erlang; Java; Lua; Rust,Assembly; C; C++; Lua; Rust
8491,Student,Germany,General,C; JavaScript,Go; JavaScript
8494,Student,Cameroon,General,C,C; C++; C#; Java; JavaScript; Python
8507,Student,Philippines,General,C#; Java; JavaScript; SQL,JavaScript; SQL
8512,Student,Philippines,General,C; C++; Java,JavaScript; PHP; Ruby; SQL; VB.NET; Visual Basic 6
8513,Student,Kenya,General,Go; JavaScript; Python; SQL,Go; JavaScript; Objective-C; Python; SQL; Swift
8514,Student,India,General,Assembly; C; C++; JavaScript; PHP; Python; Ruby; SQL,C; C++; CoffeeScript; Go; Haskell; Java; JavaScript; Lua; Matlab; Objective-C; Perl; PHP; Python; R; Rust; Scala; Smalltalk; SQL; TypeScript
8534,Student,Australia,General,C; C#; Java; Python,C++; C#
8542,Student,India,General,Python; Visual Basic 6,Go; Python
8548,Student,Austria,General,Java; JavaScript,C; C#; Python; SQL
8555,Student,Poland,General,C++; C#,C#; JavaScript
8562,Student,Israel,General,Java; JavaScript,Assembly; C; C++
8597,Student,Canada,General,Java; Objective-C; Python,Ruby
8605,Student,Germany,General,Assembly; C; C++; Java; JavaScript; Objective-C; Python; Swift,Assembly; C; Objective-C; Python; Swift
8607,Student,United Kingdom,General,JavaScript; Matlab,CoffeeScript; Elixir; Go; JavaScript; SQL
8610,Student,Germany,General,C; Java,Scala
8616,Student,China,General,Java; JavaScript,C++; F#; Haskell; Java; JavaScript; Python
8621,Student,United States,General,C++; JavaScript; PHP; Python; SQL,Java; Python
8643,Student,Germany,General,Java; Python,Swift
8650,Student,Italy,General,C; C#; JavaScript; Python,C; C++; C#; F#; Java; JavaScript; Python
8668,Student,Myanmar,General,Java; PHP,JavaScript; Ruby
8674,Student,Russian Federation,General,C++; Java; JavaScript; PHP; Python; SQL; VB.NET,C++; PHP; Python; SQL
8690,Student,Iran,General,C#; JavaScript; Python; SQL,C#; Go; Java; JavaScript; Python; R
8695,Student,Estonia,General,C; JavaScript,Assembly
8701,Student,United Kingdom,General,C++; Java; JavaScript; Matlab; PHP; Python; SQL,C; C++; C#; Java; JavaScript; Matlab; PHP; Python; SQL
8711,Student,United States,General,Java; JavaScript; Python,Haskell; Python; Rust
8714,Student,United States,General,Python; R; Swift,C; C++; Go
8716,Student,Slovak Republic,General,C; Java,C++; Java
8720,Student,Austria,General,C++,JavaScript; Matlab; SQL
8732,Student,India,General,C; Python; SQL,C; C++; Java; JavaScript; Objective-C; Python; SQL
8735,Student,India,General,C++; C#; JavaScript; Matlab,C++; Java; JavaScript; PHP; Python
8742,Student,New Zealand,General,C; C#; JavaScript; TypeScript,C; C#; Go; JavaScript; PHP; Python; Ruby; Scala; Swift; TypeScript
8751,Student,Austria,General,Python,Java
8758,Student,United States,General,C#; Java; Python,Assembly; C++; C#; Java; Python
8788,Student,United Kingdom,General,Python,R; VBA
8821,Student,United States,General,C; C++; Java; Python; Ruby,C; C++; Clojure; Go; Java; Python; Ruby; Rust
8837,Student,Sweden,General,JavaScript; PHP; SQL,C#
8847,Student,Norway,General,C++,C++; SQL
8866,Student,United States,General,C; C#; Java,C; Common Lisp; Clojure; Haskell; Java; Scala
8894,Student,United States,General,Python,C; C++; Rust
8895,Student,United States,General,JavaScript; Python; Swift,C#; JavaScript; Python; Swift
8902,Student,Puerto Rico,General,C#; Java; JavaScript; Python; SQL; VB.NET,C#; Java; Python; SQL
8904,Student,United States,General,C#; Java; Matlab; Python; R; SQL; Swift,C++; C#; Java; JavaScript; Python; Scala; SQL; Swift
8930,Student,Philippines,General,C#; Java; JavaScript; PHP; Python; Ruby; SQL; Visual Basic 6,C#; Java; SQL
8957,Student,Nepal,General,JavaScript; PHP; SQL,Java; JavaScript
8990,Student,Canada,General,Assembly; C++; Java; PHP; Python,C++; C#; Java; Python; R; SQL
9023,Student,United States,General,R,C++; Java; JavaScript; PHP; Python; SQL
9037,Student,United States,General,JavaScript,Common Lisp; Haskell; Python
9066,Student,India,General,Assembly; C; C++; C#; Go; Haskell; Java; Matlab; Python; Scala,C; C++; Common Lisp; Erlang; Go; JavaScript; PHP; Python; R; Ruby; Scala; SQL; Swift
9068,Student,India,General,C++; C#; Java; R,JavaScript; Perl; Python; R
9076,Student,Iran,General,Java,Go
9123,Student,Germany,General,Java; JavaScript; SQL; TypeScript,Java; JavaScript; SQL
9126,Student,Russian Federation,General,Java; JavaScript; Python,Java
9135,Student,Bulgaria,General,C; C++; C#; SQL,Assembly; C; C++
9174,Student,India,General,C; Matlab; Python,C++; PHP
9254,Student,Finland,General,C#; Java; JavaScript; PHP; SQL,C; C++; Python
9334,Student,Greece,General,Java; JavaScript; SQL; VB.NET,C++; Java; JavaScript; PHP; Python; Ruby; SQL
9372,Student,Portugal,General,Elixir; Erlang; Go; Java; JavaScript; Ruby; Rust,Elixir; Erlang; Go; JavaScript; Ruby
9388,Student,India,General,C; JavaScript; Python; Ruby,Assembly; C; Clojure; Haskell; JavaScript; Python; Ruby
9406,Student,Australia,General,C; Java; R,C; C++; Matlab; Python; R
9432,Student,Iran,General,Assembly; C; C++; C#; Erlang; JavaScript; Objective-C; Python; Ruby; Swift,Assembly; C; C++; C#; CoffeeScript; Erlang; F#; Go; Haskell; JavaScript; Matlab; Objective-C; PHP; Python; Ruby; Smalltalk; Swift; VB.NET; VBA; Visual Basic 6
9444,Student,Poland,General,C++; C#; Java; Objective-C,Java; Objective-C; Swift
9491,Student,South Korea,General,Java,Go; Haskell; JavaScript; Python; Scala; TypeScript
9498,Student,Germany,General,Assembly; C; Java; JavaScript; Perl; PHP; SQL,Java; JavaScript; PHP; SQL
9503,Student,Germany,General,C++; Java; JavaScript; Ruby; SQL,C; Perl
9511,Student,Italy,General,C; Java; Python; Ruby,C; F#; Go; Haskell; Java; Python; Ruby; Rust; Swift
9513,Student,Oman,General,Python,Lua; Python
9534,Student,Germany,General,Java; JavaScript; Python; Rust,Java; JavaScript; PHP; Python
9583,Student,Hong Kong,General,JavaScript; Python,C++; PHP; Ruby; Swift
9595,Student,Germany,General,Groovy; Java; JavaScript; PHP; Python; SQL; VB.NET,C; C++; Go; Haskell; Java; JavaScript; PHP; Python; SQL
9619,Student,Germany,General,C++; Java,Assembly; C; C++; Common Lisp; Java
9624,Student,Germany,General,Assembly; C; C++; Haskell; JavaScript; PHP,Assembly; C; C++; C#; Perl; Python; Rust
9663,Student,India,General,C; C++; Java; Python; SQL,Go; JavaScript; PHP
9688,Student,Panama,General,C++; C#; Java; Python,C++; C#; Java; JavaScript; PHP; Python
9700,Student,Saudi Arabia,General,C; C++; C#; Java; JavaScript; PHP; Python; Ruby; SQL; Swift,Assembly; Go; Objective-C; R
9713,Student,Canada,General,Python; R,C++
9761,Student,India,General,Ruby,Java; JavaScript
9762,Student,Japan,General,C++,Go; Rust
9766,Student,United States,General,C++; Java; JavaScript; Visual Basic 6,C++; Java; JavaScript; Lua; PHP; Python; Smalltalk; Visual Basic 6
9854,Student,Poland,General,Python,Java
9856,Student,Canada,General,C; C++; Java; Objective-C; Python; Ruby; Scala; SQL; Swift,Dart; Elixir; Haskell; JavaScript; Ruby; Rust; Scala; SQL; Swift; TypeScript
9917,Student,United Kingdom,General,Java; SQL; VB.NET; VBA; Visual Basic 6,C#; Java; JavaScript; Python; Ruby; SQL; Swift; TypeScript; VB.NET
9918,Student,Greece,General,JavaScript; Python,C++; Ruby
9923,Student,Germany,General,C++; C#; Java; Matlab; Python; R,C++; Matlab; Python
9925,Student,Spain,General,C; C#; Java; JavaScript; SQL,C#; JavaScript; Ruby
9935,Student,Brazil,General,JavaScript; PHP; SQL,C++; C#; Java; Python; Ruby
9946,Student,Canada,General,C++; Java,Python; SQL
9952,Student,Serbia,General,Assembly; C++; C#; Java; JavaScript; Python,Assembly; C; C++; C#; Java; JavaScript; Python; SQL; VB.NET
9968,Student,Romania,General,C; C++; Go; Rust,C++; Go; Rust
9998,Student,Romania,General,C++; JavaScript; Python; SQL,C++; JavaScript; PHP; SQL
10015,Student,Germany,General,Java; JavaScript; Python; SQL,C++; Java; JavaScript; Python; SQL
10019,Student,Taiwan,General,CoffeeScript; Common Lisp; Haskell; Python; Ruby,Common Lisp; Haskell; Ruby
10033,Student,Romania,General,C; C++; C#; Java; SQL,C#; Java
10045,Student,United States,General,C; C++; Java; JavaScript,Assembly; Lua; PHP; Python; SQL
10052,Student,United Kingdom,General,C; Haskell; Java,C; Java
10053,Student,United States,General,C++; Haskell; Java,C++; Clojure; F#; Haskell
10065,Student,Slovak Republic,General,C; Java; PHP; Python,C; C++; C#; Java; Python
10071,Student,Czech Republic,General,Assembly; C; JavaScript; PHP; Python; SQL,C; C++; JavaScript; Python; SQL
10092,Student,Canada,General,C; C#; Java; JavaScript; Matlab; Python; R; SQL,C; C++; C#; JavaScript; Matlab; Python; R
10098,Student,Ukraine,General,C,C++; Java; PHP
10140,Student,Portugal,General,Assembly; C; C++; C#; Java; Python; SQL; VB.NET,C; C++; Java; JavaScript; Python; Ruby; Scala
10184,Student,United States,General,Assembly; C; C++; Perl; Python,Assembly; C; Python; Rust
10194,Student,Brazil,General,JavaScript; Python; Ruby; SQL,Java; JavaScript; Python; Ruby; SQL
10198,Student,United States,General,C; C++; JavaScript; PHP; Python,Assembly; SQL
10212,Student,United States,General,C++; Java; JavaScript,C++; C#; Java; JavaScript; Objective-C; PHP; Python
10213,Student,Canada,General,Assembly; C; C++; Groovy; Java,Groovy; Java
10238,Student,Iran,General,C; Python,C; Go; Rust
10301,Student,Chile,General,Assembly; C++; Matlab; Python,C++; Python
10358,Student,India,General,C; C++; SQL,C; C++; Java; JavaScript; Objective-C; PHP; Python; SQL
10359,Student,South Korea,General,C; C++; C#,F#; Haskell; Objective-C; Smalltalk
10516,Student,China,General,Assembly; C; Java; JavaScript; Matlab; Python; SQL; TypeScript,Assembly; C; C#; F#; JavaScript; Rust; SQL; TypeScript
10562,Student,China,General,Assembly; C; C++; Clojure; Java; JavaScript; Matlab; Python; R; Scala; SQL,C; C#; Common Lisp; F#; Haskell; Java; JavaScript; Lua; Perl; Python; Smalltalk
10593,Student,Australia,General,C#,C++; Java; Python; Swift; VB.NET
10645,Student,India,General,C; C++,Assembly; Java; JavaScript; Matlab; Perl; PHP; Python; R; Ruby; Scala; SQL; Swift; Visual Basic 6
10658,Student,Italy,General,Assembly; C; Java; JavaScript; Matlab; SQL,C++; C#; Go; Java; JavaScript; SQL
10695,Student,United States,General,C; C++; C#; Java; JavaScript; Lua; PHP; Python; SQL; Visual Basic 6,C#; Java; Python; SQL
10712,Student,India,General,C; C++,Assembly; JavaScript; Python; SQL
10720,Student,India,General,C; C++; C#; Objective-C; SQL,Java; PHP; Python
10732,Student,United Kingdom,General,R,C++; Python
10741,Student,India,General,JavaScript,C++; Java; JavaScript; PHP
10755,Student,Germany,General,JavaScript; PHP; Python,C; Java; Python; Ruby
10766,Student,United States,General,Java; JavaScript; Python; Swift,Objective-C; Swift
10828,Student,Germany,General,C++; Java; Python,C++; Python; Rust
10832,Student,Romania,General,JavaScript; PHP,C#; Java; Python
10859,Student,Netherlands,General,C; C#; Java; Python,Assembly; Go; JavaScript; Swift
10865,Student,Czech Republic,General,C++; C#; Java; Matlab,C++; C#; Java
10867,Student,India,General,C++; JavaScript,Elixir; Java; Python; Rust
10879,Student,United Kingdom,General,C; C++; C#; PHP; SQL,C++; C#; PHP
10888,Student,Germany,General,C; C++; Java; PHP; Python; SQL,C++; Python
10895,Student,Italy,General,C++; PHP; Swift,C#; Python; VB.NET
10924,Student,Germany,General,Java; PHP; Python; Ruby; SQL,C; C++; C#
10942,Student,United States,General,JavaScript; Python,Java; JavaScript; Python; Swift
10959,Student,Italy,General,C; C++,C; C++; JavaScript; Python
10962,Student,India,General,C,C; Java; Python
10966,Student,France,General,C++; C#; JavaScript; PHP; SQL; TypeScript,C++; C#; CoffeeScript; Java; JavaScript; Perl; PHP; Python; Ruby; SQL; TypeScript
10983,Student,Germany,General,C; C++; Java; JavaScript; PHP; SQL; Swift,PHP
10991,Student,United Kingdom,General,C; C++; Python,Haskell; Rust
10997,Student,Georgia,General,C#; Java; Python; SQL,C#; Go; Python; Swift
11021,Student,Nepal,General,PHP,Java
11027,Student,Canada,General,JavaScript; SQL,Haskell
11029,Student,United States,General,C; C++; Java; JavaScript; PHP; Python; SQL,Perl; Ruby; Scala
11034,Student,United Kingdom,General,Assembly; C; C++; C#; Common Lisp; F#; JavaScript; Lua; VB.NET,Assembly; C; C++; C#; Common Lisp; F#; JavaScript; VB.NET
11037,Student,Romania,General,Go; JavaScript; PHP; Ruby,Go; JavaScript; PHP; Python; Ruby; Scala
11071,Student,Czech Republic,General,C#; JavaScript; TypeScript,C#; F#; Perl; Rust
11081,Student,Lithuania,General,PHP,Java; JavaScript; PHP
11084,Student,Germany,General,Java,C; Java
11091,Student,United States,General,Assembly; C; C++; CoffeeScript; JavaScript; Matlab; Python; R; Ruby,Assembly; C; C++; Python; Ruby
11112,Student,Mexico,General,C; C++; Swift,Go; Java; Python
11120,Student,India,General,Assembly; C; Java; PHP; SQL,C; Java
11130,Student,Germany,General,Assembly; C; C++; Lua; Python,Assembly; Lua; Python; Rust; Scala
11134,Student,United States,General,Java,C; Common Lisp; Perl; Ruby
11146,Student,Canada,General,C#; Java; PHP,C++; C#; Java
11154,Student,Austria,General,C; C++; Java; Python; Ruby,C; C++; Common Lisp; Clojure; Elixir; Julia; Python; Ruby; Rust
11171,Student,United States,General,C++; C#; Java; JavaScript; PHP; SQL; VB.NET; Visual Basic 6,Assembly; C; CoffeeScript; Objective-C; Python; R; Ruby; Scala; Swift
11191,Student,Brazil,General,C++; C#,C++; C#; JavaScript; Python; SQL
11194,Student,Germany,General,Python,C++; Java; Python
11197,Student,Switzerland,General,JavaScript; Ruby,JavaScript; Ruby; Rust
11221,Student,India,General,C++; C#; Java; JavaScript; Python; SQL; TypeScript,C++; C#; TypeScript
11248,Student,United Kingdom,General,C#; JavaScript; SQL,C#; Go; Java; JavaScript; Python; SQL; TypeScript
11254,Student,Germany,General,C; C++; Java; SQL; Swift,C; C++; SQL
11264,Student,Canada,General,C++; Go; JavaScript; Lua; PHP; Swift,Assembly; Java; JavaScript; Lua; PHP; Rust
11300,Student,Hungary,General,C++; C#; PHP; SQL,C#; PHP; SQL
11317,Student,Iceland,General,C#; Java; JavaScript; SQL,JavaScript; Python
11318,Student,Poland,General,C++; C#; F#; JavaScript; Lua; Python; SQL,C++; C#; F#; Lua; Python; TypeScript
11328,Student,Moldavia,General,Assembly; C; C++; C#; Java,Java
11357,Student,Ireland,General,JavaScript; Perl; Python,JavaScript; Python
11364,Student,Germany,General,C++; TypeScript,C++
11368,Student,United Kingdom,General,C#; Python,C++; C#; Lua; Python
11374,Student,Poland,General,Java; JavaScript; Objective-C,Java; JavaScript; Python
11377,Student,South Korea,General,Java; JavaScript,Java; JavaScript; PHP; TypeScript
11381,Student,France,General,Assembly; C; C++; C#; Java; JavaScript; Matlab; Python; SQL,JavaScript; Python; R; Rust; Scala; SQL
11400,Student,Bulgaria,General,C#; Java; JavaScript,JavaScript
11424,Student,United Kingdom,General,C; C++; C#; Java; JavaScript; Lua; Python; VB.NET,Assembly; C; C++; C#; Objective-C; Python
11445,Student,Netherlands,General,Assembly; C++; Java; JavaScript; Matlab; Python; SQL,JavaScript; Matlab; Python; SQL
11446,Student,Austria,General,Assembly; C; C++; C#; Java; JavaScript; PHP; Python; R,C; C++; Java
11448,Student,Ecuador,General,C; C++; C#; Java; JavaScript; PHP; SQL,C; C++; C#; Java; JavaScript; Python; R; SQL
11452,Student,Czech Republic,General,Python,JavaScript; Python; R; SQL
11454,Student,Netherlands,General,Assembly; Erlang; Go; Haskell; Java; PHP; Python,C; Erlang; Java; JavaScript; PHP; SQL
11459,Student,United States,General,JavaScript,C; Java; JavaScript; Perl; Python; Swift
11484,Student,Ecuador,General,C#; Haskell; Python,C#; Python; Swift
11496,Student,Hungary,General,Groovy; Java; SQL,JavaScript; Python
11504,Student,Romania,General,C; C++; C#; Java; JavaScript; Matlab; PHP; Python; SQL,C#; JavaScript; Swift
11526,Student,United States,General,C; C++; C#,Assembly; C; C++; Python
11532,Student,Canada,General,CoffeeScript; JavaScript; Scala; TypeScript,JavaScript; TypeScript
11535,Student,Hungary,General,Assembly; C; C++; Java; JavaScript; Matlab; PHP; SQL,Assembly; C; C++; Java; JavaScript; Perl; PHP; Python; SQL
11549,Student,Italy,General,JavaScript,C++; JavaScript; Swift
11558,Student,Slovenia,General,C; C++; Java; Matlab; R; SQL,C++
11565,Student,United States,General,C; C++; Common Lisp; Go; Java; Julia; Matlab; Python; R; Ruby,Assembly; Go; Python; Ruby
11574,Student,Sweden,General,Assembly; C++; Java; Python,C; C++; C#; Go; Java; JavaScript; PHP; Python; SQL
11579,Student,United States,General,Assembly; C; C++; C#; CoffeeScript; Common Lisp; Clojure; Dart; Elixir; Erlang; F#; Go; Groovy; Hack; Julia; PHP; Rust; Swift; Visual Basic 6,Assembly; C; C++; C#; CoffeeScript; Common Lisp; Clojure; Dart; Elixir; Erlang; F#; Go; Groovy; Hack; Julia; Perl; Smalltalk; VBA
11585,Student,Poland,General,Java,Java; JavaScript; SQL
11601,Student,United States,General,C#; JavaScript; SQL; VB.NET,C#
11602,Student,Poland,General,C; C#,Assembly; Python; Swift
11604,Student,Portugal,General,C; C++; C#; Java; Python; SQL,Java
11648,Student,United States,General,C; C++; Java; Matlab,Go; Haskell; Java
11649,Student,Brazil,General,Python; R; SQL,C; C++; C#; Go; Java; JavaScript; Ruby
11657,Student,United States,General,Java; Matlab; Python,C; Go; Java; Python
11659,Student,Serbia,General,JavaScript,Java; JavaScript; PHP
11664,Student,Australia,General,JavaScript; Lua,C++; JavaScript; Lua
11665,Student,Switzerland,General,C; Java; JavaScript; Matlab; PHP,Go; JavaScript; Swift
11669,Student,Brazil,General,C; C++; Haskell; Python,Common Lisp; Clojure; Erlang; Haskell; Python; Rust
11675,Student,United States,General,Assembly; C; C#; JavaScript; Matlab; SQL; TypeScript,C++; C#; F#; Haskell; R; TypeScript
11676,Student,Croatia,General,Java,Java; JavaScript; Python
11677,Student,United States,General,C#; Java,C++; C#
11683,Student,United States,General,C#; Java; JavaScript; PHP; R; SQL,C#; F#; Java; JavaScript; PHP; SQL
11697,Student,Portugal,General,Assembly; C; C++; Haskell; Java; JavaScript; PHP; Python; SQL; Visual Basic 6,C; C++; Java; JavaScript; PHP; Python; SQL
11699,Student,France,General,Assembly; C; C++; Java; JavaScript; Python; Ruby; SQL,C++; Haskell; Java; JavaScript; Python; R; Ruby; Scala; SQL
11743,Student,United States,General,C; Java; JavaScript,C; JavaScript
11764,Student,Vietnam,General,C; C++; Java; JavaScript; SQL,Java; JavaScript; Scala; SQL; TypeScript
11782,Student,United States,General,C,Clojure; JavaScript; Python
11792,Student,Indonesia,General,C; C++; Python,C; Python
11814,Student,United States,General,Python; Visual Basic 6,C++; Perl; Python
11817,Student,Japan,General,C#; Haskell; Java; JavaScript; Matlab; Python; R; Swift,Assembly; C#; JavaScript; Python; Swift
11841,Student,India,General,Assembly; C; C++; JavaScript; Python,C++; JavaScript; Python
11898,Student,Israel,General,C; Java; Matlab; Python; TypeScript,Assembly; C; Go; Haskell; Java; Matlab; PHP; Python; Swift
11916,Student,Hungary,General,C#; JavaScript; PHP; Ruby; SQL,Go; JavaScript; PHP; SQL
11944,Student,Iran,General,C++; Java; Python,C++; Java; JavaScript; PHP; Python; Ruby
11964,Student,Turkey,General,C; C#; Groovy; Java; JavaScript; Matlab; PHP; SQL,C#; Groovy; Java; JavaScript; SQL
11976,Student,Slovenia,General,Java; JavaScript; PHP,C#; JavaScript; PHP; Scala; TypeScript
11986,Student,India,General,C; Java,C++; JavaScript; Python; SQL
11996,Student,Poland,General,C++; Java; SQL,Java
12002,Student,Poland,General,Java; SQL,Go; JavaScript
12022,Student,India,General,Assembly; C; C++; JavaScript; Matlab,C#
12078,Student,Sweden,General,C#; Java; PHP; SQL,C#; Java; JavaScript; PHP; SQL
12083,Student,Iran,General,C#; Java; Scala,Java; Scala
12097,Student,India,General,C; C++; C#; Java; JavaScript; Perl; PHP; Visual Basic 6,Python
12121,Student,Netherlands,General,C++; C#; CoffeeScript; Go; Java; JavaScript; Lua; Matlab; PHP; Python; SQL; TypeScript,C++; C#; Go; Java; JavaScript; Lua; Matlab; PHP; Python; SQL; TypeScript
12135,Student,Slovenia,General,Assembly; Python,Java; PHP; Python
12139,Student,India,General,C; C++; C#; Java,C#; Java; JavaScript; SQL
12183,Student,Poland,General,C++; VBA,C++; JavaScript; Python
12189,Student,India,General,Python; R,C#; Java; JavaScript; Matlab
12258,Student,United Kingdom,General,C#; SQL,C++; C#; Java; JavaScript; SQL
12261,Student,Slovak Republic,General,Assembly; C; C++; C#; Java; JavaScript; PHP; Python; SQL,Objective-C
12273,Student,Poland,General,C++; JavaScript; Python,Python
12334,Student,Slovenia,General,C; C++; JavaScript; VB.NET,Assembly; Objective-C
12335,Student,Germany,General,C++; Java; SQL,C++; SQL
12351,Student,Australia,General,Java; Python,Haskell; Python; Rust
12370,Student,Slovenia,General,C; Java; JavaScript; Python; SQL,Go; Java; JavaScript; Python; R; SQL; TypeScript; VB.NET
12383,Student,Tanzania,General,PHP; Python,PHP
12423,Student,Slovenia,General,Java; Matlab; Python,Matlab; Python
12438,Student,Slovenia,General,C; JavaScript; PHP,Java; JavaScript; PHP; SQL
12439,Student,United States,General,C++,C++; Julia; Python
12443,Student,India,General,C; Java; JavaScript; PHP; Python,C++; C#; Go; Ruby; SQL; VB.NET
12462,Student,Romania,General,C++; C#; JavaScript; PHP; SQL; TypeScript,C#; JavaScript; PHP; SQL; TypeScript
12481,Student,Belgium,General,C,C++; C#; JavaScript; Objective-C; Perl; PHP; Python; R; Ruby; SQL; Swift; VBA
12489,Student,Italy,General,C#; Java; JavaScript; PHP; Python; SQL,C#; F#; Java; Objective-C; PHP; Python; SQL
12500,Student,Slovenia,General,C; C#; SQL,C++; C#; Java; JavaScript; PHP; Python; Ruby; SQL
12507,Student,Denmark,General,Java; PHP,Haskell; Python
12508,Student,Poland,General,C; C++; CoffeeScript; Java; JavaScript; Objective-C; Swift,JavaScript; Objective-C; Swift
12509,Student,India,General,C++; C#; Java; JavaScript; Python; SQL,C#; JavaScript; Python
12528,Student,Hungary,General,Python,Lua; Python
12543,Student,Slovenia,General,C; Java; SQL,Java; SQL
12544,Student,Israel,General,Java; Python,Assembly; C; C++; C#; Swift
12547,Student,Sweden,General,JavaScript,Common Lisp; Clojure; Erlang; Go; Haskell; JavaScript; Rust
12554,Student,Sweden,General,C; C++; Python,C++; Julia; Python
12555,Student,Canada,General,C#; Java; JavaScript; PHP; SQL,C; C++; Python
12560,Student,United Kingdom,General,JavaScript,CoffeeScript; JavaScript; Python; TypeScript
12562,Student,Switzerland,General,C#; Java; PHP; SQL; VB.NET,C#; SQL
12570,Student,Canada,General,C++; Go; Java; JavaScript; Python,C++; Java; JavaScript; Python
12572,Student,Slovenia,General,C#; Java; JavaScript; Lua; Python,C#; JavaScript; Python; TypeScript
12579,Student,Uruguay,General,C++; JavaScript,C++; Java; JavaScript
12591,Student,Germany,General,Java; JavaScript; PHP; Python,C++; Java; JavaScript; PHP; Python; Swift
12595,Student,United States,General,C#; Java; R,Haskell
12603,Student,Austria,General,C#; Java; JavaScript; PHP; SQL; TypeScript; VBA,C#; CoffeeScript; Java; JavaScript; PHP; Rust; SQL; TypeScript
12609,Student,Iceland,General,C; C++; C#; Java; JavaScript; Python,C; C#; Python
12633,Student,United Kingdom,General,C#; JavaScript; SQL; TypeScript,C++; Java; Python
12663,Student,Sri Lanka,General,C#; Java; JavaScript; PHP; Python; SQL,C++; C#; Go; Java; Python; SQL; TypeScript
12683,Student,Netherlands,General,Java; Python; SQL,Python
12694,Student,United States,General,C++; Java,C++
12703,Student,United States,General,C; C#; Java; JavaScript; Lua; Python,C; Python
12713,Student,Israel,General,C; Java; Python; R,C; C++; C#
12717,Student,India,General,Python,Go; JavaScript; Python
12742,Student,India,General,C#; Java; Visual Basic 6,C++; C#
12753,Student,Brazil,General,C++; C#; JavaScript; Lua; PHP; Python; SQL; VB.NET,Assembly; Go
12775,Student,United States,General,C++; Java; Python; Ruby,C++; Java; Matlab; Objective-C; SQL
12784,Student,Sweden,General,Assembly; C; C++; C#; F#; Go; Java; JavaScript; PHP; SQL; VB.NET; Visual Basic 6,C++; C#; F#
12790,Student,India,General,C; PHP; Python,C; C++; Objective-C; PHP; Python; Ruby; SQL
12811,Student,India,General,C; C++,Assembly; Groovy; Java; JavaScript; SQL
12822,Student,Austria,General,C++; Java; Python,Haskell; Matlab; Python; R; Scala
12826,Student,India,General,Objective-C; PHP; Swift,Python; R
12830,Student,Serbia,General,C#; Java,C++; C#; Java; Python; SQL
12845,Student,Norway,General,C++; Java; Lua,Assembly; C; C++
12847,Student,Germany,General,C#; Java; JavaScript; PHP; Python; SQL,Java; JavaScript; PHP; Python; SQL
12849,Student,Bangladesh,General,C++; Java,Java; JavaScript; Python; R; SQL
12867,Student,United States,General,Java; JavaScript; Objective-C; PHP; Python; SQL,CoffeeScript; Go; JavaScript; Objective-C; Python; SQL; Swift
12871,Student,Germany,General,C; C++; Java,C; C++; C#; Go; Haskell; Java; Scala
12881,Student,France,General,Assembly; C; C++; C#; PHP; Python,C; C++; PHP; Python
12884,Student,Nepal,General,C++; C#; Common Lisp; Java; JavaScript; PHP; Python; SQL,Common Lisp
12892,Student,Slovenia,General,JavaScript; PHP; Python; SQL,CoffeeScript
12907,Student,I prefer not to say,General,Python,C++; Java; Python; Swift
12912,Student,Hungary,General,C++; Haskell; JavaScript; PHP; Ruby,Clojure; Haskell; JavaScript; Python; Ruby
12921,Student,Germany,General,Assembly; C; C#; PHP; SQL,Assembly; C#
12923,Student,United States,General,JavaScript; PHP; Ruby,C++; JavaScript; Ruby; Rust
12932,Student,France,General,Assembly; C; C++; C#; Go; Haskell; Python; Rust,C; C++; Go; Haskell; Lua; Rust; Scala
12935,Student,Germany,General,Java; JavaScript; SQL,Java; JavaScript; Scala
12953,Student,United Kingdom,General,PHP; SQL,C
12967,Student,Canada,General,C++; C#,C++; JavaScript
12969,Student,United States,General,Assembly; C; C++; Java; JavaScript; PHP; Python; SQL,Go; Java; JavaScript; Perl; PHP; Python; SQL; Swift
12998,Student,Singapore,General,C; Java; JavaScript; PHP; Ruby; SQL; Swift,Java; JavaScript; PHP; Python; SQL
12999,Student,Bulgaria,General,C#; PHP,Swift
13003,Student,United Kingdom,General,C++; C#; Java; JavaScript; PHP; Python; Ruby,C++; C#; Java; JavaScript; PHP; Ruby
13056,Student,Poland,General,C; C++; Python,Rust
13083,Student,United States,General,JavaScript; PHP; Python,C++; JavaScript; Python
13100,Student,Serbia,General,Java; JavaScript; PHP; SQL,C++; C#; Go; Java; JavaScript; PHP; SQL; Swift
13119,Student,United States,General,C++; C#; Java; JavaScript; PHP; SQL,C#; Erlang; JavaScript; Swift
13137,Student,Botswana,General,PHP,C++
